asset,model,confidence_level,method,period,n_obs,expected_breaches,actual_breaches,breach_rate,kupiec_lr,kupiec_p_value,christoffersen_lr,christoffersen_p_value,es_tail_loss_ratio,avg_breach_size,max_cluster_length,avg_days_between_breaches
MSFT,rolling_63,0.95,validation_student_t_residual_df5,test,1099,54.950000000000045,47,0.042766151046405826,1.2704313853337794,0.25968576791067177,7.61845580541376e-05,0.9930358514976522,0.9621073254583586,0.010220060520631237,2,34.108695652173914
MSFT,rolling_63,0.99,validation_student_t_residual_df5,test,1099,10.990000000000009,4,0.003639672429481347,5.939280645688825,0.014807060906407044,0.029250522203483342,0.8642018746040457,1.2747244248802694,0.03047584039120356,1,397.0
NVDA,rolling_63,0.95,validation_student_t_residual_df5,test,1099,54.950000000000045,36,0.03275705186533212,7.792747708481215,0.005245635964400197,0.030967474262070027,0.8603129722297009,0.887136986971515,0.01425224969643261,2,44.4
NVDA,rolling_63,0.99,validation_student_t_residual_df5,test,1099,10.990000000000009,2,0.0018198362147406734,11.238724393469703,0.0008010819367978428,0.007299274120189381,0.931914941293742,1.188883249754023,0.049133341188865226,1,283.0
QQQ,rolling_63,0.95,validation_student_t_residual_df5,test,1099,54.950000000000045,54,0.04913557779799818,0.017383657318418955,0.8951052326802729,0.6608817983127437,0.4162488078466643,0.8918043025181445,0.0066266827037682295,3,29.09433962264151
QQQ,rolling_63,0.99,validation_student_t_residual_df5,test,1099,10.990000000000009,6,0.00545950864422202,2.740135413101356,0.09785647419034993,5.233898913700898,0.022150825286584963,0.9601058382428757,0.00892740678635495,2,90.0
SPY,rolling_63,0.95,validation_student_t_residual_df5,test,1099,54.950000000000045,59,0.05368516833484986,0.30715484886144395,0.5794313541935328,0.22582333336771399,0.6346382080466613,0.912741149973691,0.005336436190864602,3,26.586206896551722
SPY,rolling_63,0.99,validation_student_t_residual_df5,test,1099,10.990000000000009,7,0.006369426751592357,1.679555785288244,0.19498348865188797,4.58431814176771,0.03226580652645428,1.0338976315702,0.009989491381424784,2,187.16666666666666
TLT,rolling_63,0.95,validation_student_t_residual_df5,test,1099,54.950000000000045,53,0.048225659690627844,0.0736724680681391,0.7860628482370656,0.09984894481107176,0.7520109815120546,0.8879468262680257,0.0044415100018676944,2,30.634615384615383
TLT,rolling_63,0.99,validation_student_t_residual_df5,test,1099,10.990000000000009,5,0.004549590536851683,4.137438816978587,0.041944586478244505,0.04574581370487607,0.8306385235480794,0.9048433939344289,0.004556542188542961,1,369.75
USO,rolling_63,0.95,validation_student_t_residual_df5,test,1099,54.950000000000045,34,0.030937215650591446,9.673305987602475,0.001869645778696083,0.7281925258828892,0.3934696892976284,0.9435221644687881,0.014421864448848446,2,45.45454545454545
USO,rolling_63,0.99,validation_student_t_residual_df5,test,1099,10.990000000000009,6,0.00545950864422202,2.740135413101356,0.09785647419034993,5.233898913700898,0.022150825286584963,0.9534921341237422,0.014716140323990733,2,224.4
AAPL,ewma_094,0.95,validation_student_t_residual_df5,test,1099,54.950000000000045,46,0.04185623293903549,1.6205343991379095,0.20301728934846797,6.276468494168796,0.01223516850837536,1.0620595207821562,0.012475828054733797,2,31.444444444444443
AAPL,ewma_094,0.99,validation_student_t_residual_df5,test,1099,10.990000000000009,12,0.01091901728844404,0.09103902648794815,0.7628603810892526,2.4562929402463,0.1170547484933736,1.0688736784135806,0.014615861512047862,2,113.45454545454545
AAPL,ewma_tuned,0.95,validation_student_t_residual_df5,test,1099,54.950000000000045,48,0.04367606915377616,0.9647859151633043,0.32598400826358576,5.502012676735546,0.01899459934541947,1.0697246164454706,0.012280138539845867,2,30.106382978723403
AAPL,ewma_tuned,0.99,validation_student_t_residual_df5,test,1099,10.990000000000009,15,0.01364877161055505,1.326730539054921,0.24938769214513268,5.980384056121949,0.014465851807550667,1.0555662926273535,0.01263813469615573,2,89.14285714285714
AAPL,ewma_rolling_update,0.95,validation_student_t_residual_df5,test,1099,54.950000000000045,46,0.04185623293903549,1.6205343991379095,0.20301728934846797,3.8364610372834136,0.050149266154940086,1.0297605404906234,0.011783839860385307,2,31.11111111111111
AAPL,ewma_rolling_update,0.99,validation_student_t_residual_df5,test,1099,10.990000000000009,16,0.014558689717925387,2.0223997469619235,0.15499402479012347,1.454823874282198,0.22775549553715468,0.9544561822601686,0.00864472334651923,2,83.2
AAPL,har_rolling_update,0.95,validation_student_t_residual_df5,test,1099,54.950000000000045,45,0.04094631483166515,2.0160184345413654,0.1556468008916717,2.1058907172320573,0.14673287863132234,1.0352051698536158,0.011966751918536042,2,31.818181818181817
AAPL,har_rolling_update,0.99,validation_student_t_residual_df5,test,1099,10.990000000000009,15,0.01364877161055505,1.326730539054921,0.24938769214513268,1.6677462201465119,0.1965606818082224,0.9615008386525281,0.00912697792605991,2,89.14285714285714
GLD,ewma_094,0.95,validation_student_t_residual_df5,test,1099,54.950000000000045,48,0.04367606915377616,0.9647859151633043,0.32598400826358576,11.522272508517688,0.0006876727242598468,1.0287651459192262,0.0075355967343740575,2,32.680851063829785
GLD,ewma_094,0.99,validation_student_t_residual_df5,test,1099,10.990000000000009,10,0.009099181073703366,0.09288703739709092,0.7605384770378237,0.18382611764481283,0.6681055469475126,1.05836486181713,0.011514117209606255,1,158.11111111111111
